Headline,Actual Tag,Predicted Tag
IT ડિપાર્ટમેન્ટ 1 લાખ લોકો સામે કરશે દંડનાત્મક કાર્યવાહી,Business,Business
"વિરાટની સેન્ચુરી પર અનુષ્કા ખુશ, ઇન્સ્ટાગ્રામ પર આવી રીતે વરસાવ્યો પ્રેમ",Entertainment,Entertainment
'જમાઇ રાજા' ની આ હોટ એકટ્રેસના બિકિની ફોટાએ લગાવી 'આગ',Entertainment,Entertainment
"કરીનાએ સૈફના બર્થડે પર રાખી સ્પેશિયલ પાર્ટી, જુઓ ફોટા",Entertainment,Entertainment
"ભારતમાં નોકરી કરવા માટે બેસ્ટ છે આ કંપની, શું તમે પણ તેમા કામ કરવા માંગો છો?",Business,Business
"સંસદિય સમિતિ સમક્ષ રજૂ થયા ઉર્જિત પટેલ, કહ્યું- નોટબંધીનો પ્રભાવ ક્ષણિક હતો",Business,Business
"હવે WhatsAppથી મોકલી શકશો પૈસા, ટૂંક સમયમાં શરૂ થશે આ સેવા",Tech,Tech
અહીં 1500 રૂપિયામાં ખાતું ખોલાવો અને FD કરતા વધું વ્યાજ મેળવો,Business,Business
"હવે આવ્યું બેટરીથી ચાલતું ક્રેડિટ કાર્ડ, બટન પણ હશે, જાણો ખાસિયત",Tech,Tech
શું તમે જાણો છો બોલિવૂડના આ સ્ટાર્સ રિયલ લાઇફમાં હતાં Teacher,Entertainment,Entertainment
Nokiaના આ સ્માર્ટફોન પર મળી રહ્યું છે 100%નું કેશબેક,Entertainment,Tech
બિગ બોસની Ex સ્પર્ધકે શેર કરી બ્લેક બિકિનીમાં તસવીરો,Entertainment,Entertainment
"હવે રેલ સફર થશે સરળ, રેલવે આપવા જઈ રહ્યું છે મોટી ભેટ",Business,Tech
રિઝર્વ બેન્કના નવા ગર્વનર તરીકે શક્તિકાંત દાસની નિમણૂક,Business,Business
Video: ઇશા અંબાણી સાથે શ્લોકા મેહતાએ કર્યો ઘૂમર ડાન્સ,Entertainment,Entertainment
સલમાન ખાને પોતાના બર્થ ડે પર કેમ પહેર્યું હતું ક્રોસ વાળું લોકેટ? થયો ખુલાસો,Entertainment,Entertainment
PHOTOS: જુઓ 2019માં રિલીઝ થનારી ફિલ્મોનાં 'First Look',Entertainment,Entertainment
દશેરાની ઉજવણીઃ ફાફડા-જલેબી ખરીદવા લાંબી લાઈનો લાગી,Business,Business
